game_date,matchup,wl,fgm,fga,fg3m,fg3a,ftm,fta,pts
2025-04-13,GSW vs. LAC,L,10,20,7,12,9,9,36
2025-04-11,GSW @ POR,W,6,14,2,8,0,0,14
2025-04-09,GSW vs. SAS,L,12,24,5,14,1,1,30
2025-04-08,GSW @ PHX,W,9,17,3,9,4,4,25
2025-04-06,GSW vs. HOU,L,1,10,1,8,0,0,3
2025-04-04,GSW vs. DEN,W,13,24,7,15,3,3,36
2025-04-03,GSW @ LAL,W,10,21,4,11,13,14,37
2025-04-01,GSW @ MEM,W,16,31,12,20,8,8,52
2025-03-30,GSW @ SAS,W,4,10,2,4,3,3,13
2025-03-28,GSW @ NOP,W,7,21,5,16,4,5,23
2025-03-20,GSW vs. TOR,W,6,8,2,4,3,5,17
2025-03-17,GSW vs. DEN,L,6,21,4,14,4,4,20
2025-03-15,GSW vs. NYK,W,8,20,4,13,8,9,28
2025-03-13,GSW vs. SAC,W,4,9,2,6,1,1,11
2025-03-10,GSW vs. POR,W,6,14,5,11,7,7,24
2025-03-08,GSW vs. DET,W,8,22,4,15,12,12,32
2025-03-06,GSW @ BKN,W,12,20,7,13,9,9,40
2025-03-04,GSW @ NYK,W,10,21,5,9,3,3,28
2025-03-03,GSW @ CHA,W,6,14,3,9,6,8,21
2025-03-01,GSW @ PHI,L,10,18,5,12,4,4,29
2025-02-27,GSW @ ORL,W,16,25,12,19,12,12,56
2025-02-25,GSW vs. CHA,W,6,14,2,9,1,1,15
2025-02-23,GSW vs. DAL,W,12,20,3,8,3,3,30
2025-02-21,GSW @ SAC,W,7,13,4,9,2,2,20
2025-02-13,GSW @ HOU,W,7,17,5,13,8,9,27
2025-02-12,GSW @ DAL,L,9,23,4,13,3,4,25
2025-02-10,GSW @ MIL,W,12,24,6,16,8,9,38
2025-02-08,GSW @ CHI,W,10,19,8,16,6,8,34
2025-02-06,GSW @ LAL,L,13,35,6,20,5,5,37
2025-02-05,GSW @ UTA,L,12,31,6,18,2,2,32
2025-02-03,GSW vs. ORL,W,7,21,2,12,8,8,24
2025-01-31,GSW vs. PHX,L,5,14,1,6,3,3,14
2025-01-29,GSW vs. OKC,W,6,15,5,10,4,4,21
2025-01-25,GSW vs. LAL,L,4,17,2,9,3,4,13
2025-01-23,GSW vs. CHI,W,8,19,5,12,0,0,21
2025-01-22,GSW @ SAC,L,6,11,1,4,1,1,14
2025-01-20,GSW vs. BOS,L,6,16,4,12,2,2,18
2025-01-18,GSW vs. WAS,W,10,22,4,14,2,2,26
2025-01-15,GSW @ MIN,W,10,21,7,12,4,4,31
2025-01-13,GSW @ TOR,L,9,17,4,10,4,4,26
2025-01-09,GSW @ DET,W,5,21,2,14,5,5,17
2025-01-07,GSW vs. MIA,L,11,22,8,17,1,1,31
2025-01-05,GSW vs. SAC,L,8,12,4,8,6,6,26
2025-01-02,GSW vs. PHI,W,11,15,8,8,0,0,30
2024-12-30,GSW vs. CLE,L,4,14,3,11,0,0,11
2024-12-28,GSW vs. PHX,W,9,22,4,13,0,0,22
2024-12-25,GSW vs. LAL,L,14,24,8,15,2,2,38
2024-12-23,GSW vs. IND,L,2,13,2,9,4,4,10
2024-12-21,GSW @ MIN,W,10,21,7,16,4,5,31
2024-12-19,GSW @ MEM,L,0,7,0,6,2,2,2
2024-12-15,GSW vs. DAL,L,9,19,7,13,1,1,26
2024-12-11,GSW @ HOU,L,8,17,3,9,0,1,19
2024-12-08,GSW vs. MIN,W,8,18,5,11,9,11,30
2024-12-06,GSW vs. MIN,L,6,17,3,9,8,8,23
2024-12-03,GSW @ DEN,L,8,23,4,15,4,4,24
2024-11-30,GSW @ PHX,L,8,21,3,10,4,5,23
2024-11-25,GSW vs. BKN,L,8,17,8,16,4,4,28
2024-11-23,GSW @ SAS,L,5,16,3,10,1,1,14
2024-11-22,GSW @ NOP,W,6,13,4,7,3,3,19
2024-11-20,GSW vs. ATL,W,7,10,4,6,5,5,23
2024-11-18,GSW @ LAC,L,10,21,6,15,0,0,26
2024-11-15,GSW vs. MEM,W,4,9,3,7,2,2,13
2024-11-12,GSW vs. DAL,W,14,27,5,12,4,5,37
2024-11-10,GSW @ OKC,W,13,23,7,13,3,4,36
2024-11-08,GSW @ CLE,L,5,10,1,4,1,1,12
2024-11-06,GSW @ BOS,W,8,17,4,9,7,7,27
2024-11-04,GSW @ WAS,W,7,15,4,9,6,6,24
2024-10-27,GSW vs. LAC,L,6,11,4,7,2,2,18
2024-10-25,GSW @ UTA,W,7,20,4,13,2,2,20
2024-10-23,GSW @ POR,W,4,10,3,7,6,6,17
